Date,Price,Open,High,Low,Vol.,Change %
5-May-16,777.85,767.57,778.91,766.52,156.37M,1.35%
4-May-16,767.49,772.84,773.57,766.4,197.95M,-0.71%
3-May-16,772.97,788.86,789.63,772.97,224.91M,-2.15%
28-Apr-16,789.99,789.3,790.45,786.77,152.78M,0.11%
27-Apr-16,789.09,801.32,802.81,789.09,294.39M,-1.46%
26-Apr-16,800.76,803.54,808.6,800.76,191.71M,-0.42%
24-Apr-16,804.16,802.07,805.25,800.69,144.86M,0.23%
21-Apr-16,802.3,804.18,807.62,802.3,311.34M,-0.09%
20-Apr-16,803.02,813.36,814.97,803.01,359.02M,-1.17%
19-Apr-16,812.52,808.66,813.86,808.66,439.66M,0.71%
18-Apr-16,806.77,805.2,809.03,804.88,267.94M,0.49%
17-Apr-16,802.87,795.9,804.03,795.9,248.63M,1.05%
14-Apr-16,794.49,786.94,796,786,292.00M,1.15%
13-Apr-16,785.49,779.03,787.57,779.03,177.72M,0.97%
12-Apr-16,777.98,774.32,780.46,771.64,180.31M,0.67%
11-Apr-16,772.8,777.81,777.81,772.65,201.33M,-0.53%
10-Apr-16,776.92,778.57,780.79,775.12,192.84M,0.01%
7-Apr-16,776.87,773.4,776.87,769.03,238.75M,0.43%
6-Apr-16,773.57,789.58,790.03,773.57,424.17M,-2.00%
5-Apr-16,789.35,793.87,796.11,789.35,357.79M,-0.29%
4-Apr-16,791.63,789.85,791.66,788.92,298.57M,0.22%
3-Apr-16,789.87,792.51,794.78,789.87,282.48M,-0.29%
31-Mar-16,792.19,789.48,792.39,788.29,459.78M,0.34%
30-Mar-16,789.51,797.28,797.76,789.51,302.86M,-0.99%
29-Mar-16,797.4,794.12,801.65,793.7,508.96M,0.31%
28-Mar-16,794.97,788.95,795.03,787,398.59M,0.76%
27-Mar-16,788.96,792.75,797.09,788.96,357.05M,-0.41%
24-Mar-16,792.24,791.67,795.98,791.61,437.93M,0.32%
23-Mar-16,789.69,780.99,789.72,780.04,449.80M,1.20%
22-Mar-16,780.3,782.11,785.51,779.99,446.06M,-0.20%
21-Mar-16,781.85,781.74,782.11,778,319.03M,0.10%
20-Mar-16,781.04,784.28,788.58,781.04,403.04M,-0.34%
17-Mar-16,783.7,770.37,784.28,770.37,653.40M,1.88%
16-Mar-16,769.25,765.39,769.91,763.77,595.52M,0.48%
15-Mar-16,765.56,763.29,768.27,762.88,386.06M,0.96%
14-Mar-16,758.3,736.16,765,736.16,705.34M,3.35%
13-Mar-16,733.74,734.73,736.62,733.72,236.52M,-0.19%
10-Mar-16,735.13,731.68,737.17,731.68,416.84M,0.68%
9-Mar-16,730.15,730.14,731.17,728.72,284.52M,-0.14%
8-Mar-16,731.2,732.52,733.75,731.2,244.44M,0.05%
7-Mar-16,730.82,730.04,731.9,728.63,223.85M,0.23%
6-Mar-16,729.13,724.3,731.69,724.3,207.76M,0.69%
3-Mar-16,724.13,723.53,724.37,720.55,106.60M,0.07%
2-Mar-16,723.61,727.1,730.63,723.61,144.71M,-0.36%
1-Mar-16,726.19,723.59,726.89,722.39,102.99M,0.43%
29-Feb-16,723.05,727.17,728.31,723.05,209.55M,-0.44%
28-Feb-16,726.22,719.91,726.66,719.91,187.33M,0.90%
25-Feb-16,719.75,715.66,720.9,715.52,131.74M,0.64%
24-Feb-16,715.15,718.89,718.91,715.15,132.34M,-0.46%
23-Feb-16,718.43,718.32,722.14,717.1,212.45M,0.10%
22-Feb-16,717.71,712.87,719.03,712.87,227.90M,0.90%
21-Feb-16,711.33,704.78,712.03,704.69,123.82M,0.98%
18-Feb-16,704.41,705.46,705.86,704.03,123.32M,-0.16%
17-Feb-16,705.52,705.28,705.68,702.4,213.96M,-0.11%
16-Feb-16,706.31,703.87,707.81,703.87,211.56M,0.41%
15-Feb-16,703.44,698.26,704.25,698.26,140.28M,0.76%
14-Feb-16,698.11,696.51,698.84,696.51,125.66M,0.25%
11-Feb-16,696.4,705.93,706.43,695.75,178.45M,-1.34%
10-Feb-16,705.88,702.57,708.02,702.57,103.91M,0.51%
9-Feb-16,702.31,709.95,710.16,700.02,204.50M,-1.08%
8-Feb-16,710.01,709.52,715.15,709.51,245.52M,0.10%
7-Feb-16,709.3,708.66,709.3,703.59,136.97M,0.10%
4-Feb-16,708.61,708.56,712.27,708.56,220.32M,0.15%
3-Feb-16,707.57,703.54,707.57,702.13,170.71M,0.55%
2-Feb-16,703.71,706.78,712.25,703.68,224.73M,-0.55%
1-Feb-16,707.58,715.59,715.75,705.45,122.64M,-1.12%
31-Jan-16,715.62,718.95,721.26,714.66,233.09M,0.10%
28-Jan-16,714.89,714.01,719.73,714.01,156.27M,0.12%
27-Jan-16,714,710.81,716.82,710.81,181.72M,0.60%
26-Jan-16,709.74,703.91,713.62,703.07,215.93M,0.67%
24-Jan-16,705.04,698.65,707.5,698.65,252.78M,1.88%
21-Jan-16,692.03,691.3,692.35,683.2,196.22M,0.06%
20-Jan-16,691.61,710.56,710.56,691.61,235.35M,-2.76%
19-Jan-16,711.23,698.62,711.39,698.62,344.10M,2.32%
18-Jan-16,695.11,680.64,695.77,680.64,240.28M,2.14%
17-Jan-16,680.56,693.59,693.59,673.23,252.66M,-2.02%
14-Jan-16,694.6,730.9,730.9,694.55,250.33M,-5.02%
13-Jan-16,731.31,757.82,761.28,731.31,347.97M,-3.50%
12-Jan-16,757.8,763.96,763.96,756.37,249.45M,-0.87%
11-Jan-16,764.46,777.21,779.36,764.46,284.16M,-1.58%
10-Jan-16,776.74,783.97,783.97,776.74,182.52M,-1.43%
6-Jan-16,787.98,791.06,791.6,786.82,168.58M,-0.33%
5-Jan-16,790.58,783.17,791.84,782.34,166.85M,0.94%
4-Jan-16,783.22,796.01,796.28,783.22,297.06M,-1.64%
3-Jan-16,796.29,790.61,796.29,790.61,135.77M,0.72%
31-Dec-15,790.57,789.66,792.1,789.3,194.48M,0.12%
30-Dec-15,789.63,776.41,790.71,776.41,356.99M,1.75%
29-Dec-15,776.02,768.96,776.02,767.29,212.62M,0.91%
28-Dec-15,769.05,769.88,771.66,769.03,185.80M,-0.06%
27-Dec-15,769.52,769.49,771.09,768.72,318.95M,-0.01%
24-Dec-15,769.6,760.13,772.27,760.09,321.70M,1.44%
22-Dec-15,758.67,756.51,759.1,755.11,246.45M,0.28%
21-Dec-15,756.57,762.23,764.58,756.57,331.66M,-0.85%
20-Dec-15,763.09,760.57,764.95,759.9,180.25M,0.28%
17-Dec-15,760.95,752.14,760.97,752.14,421.69M,1.23%
16-Dec-15,751.72,746.8,752.5,746.8,240.27M,0.68%
15-Dec-15,746.63,745.08,751.12,743.45,220.67M,0.21%
14-Dec-15,745.09,747.31,750.06,745.09,138.93M,-0.28%
13-Dec-15,747.19,761.47,761.47,747.1,217.52M,-2.02%
10-Dec-15,762.6,765.02,766.44,762.56,146.36M,-0.32%
9-Dec-15,765.03,762.13,765.82,760.65,175.73M,0.43%
8-Dec-15,761.74,776.41,776.63,761.69,249.59M,-1.91%
7-Dec-15,776.56,778.1,781.3,776.52,276.55M,-0.08%
6-Dec-15,777.15,770.79,777.15,769.19,264.51M,0.83%
3-Dec-15,770.79,757.5,770.92,757.5,310.41M,1.84%
2-Dec-15,756.89,742.74,756.89,742.74,393.47M,2.01%
1-Dec-15,741.97,736,742.51,735.72,193.33M,0.82%
30-Nov-15,735.94,745.6,745.62,735.94,196.27M,-1.29%
29-Nov-15,745.58,745.44,747.03,744.41,207.12M,0.05%
26-Nov-15,745.22,745.17,746.86,744.53,244.88M,0.01%
25-Nov-15,745.16,749.05,751.46,744.22,176.64M,-0.49%
24-Nov-15,748.83,762.48,762.48,748.56,214.36M,-1.79%
23-Nov-15,762.48,772.84,774.92,762.48,381.76M,-1.40%
22-Nov-15,773.34,769.9,773.73,769.37,248.36M,0.45%
19-Nov-15,769.9,759.57,770.55,759.57,223.17M,1.40%
18-Nov-15,759.3,754.63,759.3,749.19,270.43M,0.62%
17-Nov-15,754.65,761.04,767.18,754.64,339.06M,-0.80%
16-Nov-15,760.75,761.27,761.93,757.45,237.79M,-0.05%
15-Nov-15,761.13,784.44,784.44,759.05,216.37M,-3.30%
12-Nov-15,787.14,786.52,791.81,786.24,180.64M,0.08%
11-Nov-15,786.53,790.31,791.6,786.53,268.29M,-0.46%
10-Nov-15,790.2,817.74,817.95,790.19,273.94M,-3.40%
9-Nov-15,818.01,829.76,829.76,818.01,255.34M,-1.42%
8-Nov-15,829.79,849.88,849.88,829.79,305.63M,-2.67%
5-Nov-15,852.52,843.68,852.54,843.68,266.45M,1.00%
4-Nov-15,844.08,842.78,844.08,842.25,204.72M,0.15%
3-Nov-15,842.81,844.91,847.74,842.77,186.63M,-0.24%
2-Nov-15,844.85,843.18,845.26,842.41,184.92M,0.19%
1-Nov-15,843.25,852.03,852.05,843.25,283.38M,-1.07%
29-Oct-15,852.35,849.13,854,849.13,260.18M,0.38%
28-Oct-15,849.11,855.63,855.87,849.01,284.13M,-0.77%
27-Oct-15,855.66,858.46,858.5,852.42,378.66M,-0.33%
26-Oct-15,858.47,864.63,864.74,858.45,456.52M,-0.71%
25-Oct-15,864.57,860.83,865.98,860.15,281.77M,0.43%
22-Oct-15,860.85,867.85,868.15,860.83,560.59M,-0.80%
21-Oct-15,867.76,862.76,867.89,862.06,196.15M,0.54%
